Animals or Birds,Jobs,Science/ Science fields,Humany Body,Food,Fruits
Anaconda,artist,anatomy,gums,bread,Apricot
ant,actor,atom,Adam's apple,butter,Avocado
antelope,astronaut,botany,wrist,almond,Banana
ape,athlete,cell,heart,biscuit,Apple
bear,lawyer,chemical,nail,Dosa,Blackberry
zebra,barber,chemistry,ankle,beet,Fig
tiger,blacksmith,chemistry,nose,Pie,Blueberry
shark,detective,climate,appendix,Burger,Grape
butterfly,dancer,electricity,knee,Pasta,Coconut
Spider,dentist,electrochemist,arm,Salad,Cranberry
Squirrel,doctor,energy,heel,asparagus,Cucumber
Starfish,waiter,entomology,jaw,burrito,Custard apple
swordfish,shopkeeper,evolution,back,cake,Cherry
Tiger,cashier,experiment,eye,Quinoa,Date
spider,bus conductor,Gravity,eyebrow,chocolate,Grapefruit
frog,taxi driver,molecule,eyelashes,chutney,Guava
Turkey,politician,motion,neck,chips,Kiwi
Turtle,teacher,physics,hair,chili,Lemon
Dinosaur,film director,psychology,blood,curry,Lime
Vulture,Farmer,organism,palm,coconut,Jackfruit
buffalo,Maid,laboratory,legs,egg,Lychee
Whale,Pilot,virus,bone,eggplant,Mango
Sheep,Nurse,vaccine,brain,grape,Olive
Zebra,Plumber,test tube,teeth,jam,Orange
Cat,Mechanic,Galaxy,face,juice,Orange
Chicken,Architect,Moon,lungs,ketchup,Pear
Dog,lawyer,Sun,elbow,lemon,Mandarine
Donkey,Pilot,Milkyway,foot,meat,Peach
mouse,Blacksmith,Jupyetr,forehead,chicken,Papaya
pig,Judge,Mars,skin,milk,Watermelon
Horse,Cashier,Alien,spine,mutton,Pineapple
eagle,chef,Spaceship,shoulder,oil,Pomegranate
penguin,carpenter,Comet,muscle,rice,Strawberry
duck,cashier,Solar System,skeleton,pumpkin,Purple mangosteen
sparrow,software engineer,Solar Power,tongue,pizza,Strawberry
dove,policeman,Eclipse,skull,sugar,blueberry
